,YYYYMM,AGENT_CODE,AGENT_NM,CUST_TYPE,PRD_CATG,PRD_BRAND,REGION,PROVINCE,TM_CAL_PERIOD,AG_SALE_OUT_OTHER_FLG,AG_SALE_OUT_FLG,SALE_OUT_AGENT,SALE_OUT_AGENT_OTHER,BEG_STOCK_AGENT,END_STOCK_AGENT,BUY_IN,collected_at
0,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,Beer,Archa,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
1,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,Spirits,Bangyikhan,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
2,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,Spirits,Blend285,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
3,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,Beer,ChangClassic,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
4,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,Beer,Federbrau,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
5,201809,0001010586,บจก.เพ็ญ โฮลเซลล์ กรุ๊ป,Agent,NAB,GreenTea,Region 8,Surat Thani,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
6,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Beer,Archa,Region 4,Khon Kaen,T3,ERR,ERR,,,,629.0,450.0,2021-04-28 14:27:48
7,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Spirits,Blend285,Region 4,Khon Kaen,T3,ERR,ERR,,,,533.0,52.0,2021-04-28 14:27:48
8,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,NAB,Chang,Region 4,Khon Kaen,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
9,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Beer,ChangClassic,Region 4,Khon Kaen,T3,ERR,ERR,,,,5946.0,3180.0,2021-04-28 14:27:48
10,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Spirits,HongThong,Region 4,Khon Kaen,T3,ERR,ERR,,,,2445.0,420.0,2021-04-28 14:27:48
11,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Spirits,Prayanak,Region 4,Khon Kaen,T3,ERR,ERR,,,,10.0,400.0,2021-04-28 14:27:48
12,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Spirits,RuangKhao,Region 4,Khon Kaen,T3,ERR,ERR,,,,21717.0,5840.0,2021-04-28 14:27:48
13,201809,0001010562,บจก.ขุนพลพาณิชย์ (2018),Agent,Spirits,Sangsom,Region 4,Khon Kaen,T3,ERR,ERR,,,,186.0,86.0,2021-04-28 14:27:48
14,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Beer,Archa,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
15,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,Blend285,Region 2,Trat,T3,ERR,ERR,-3.0,,0.0,26.0,23.0,2021-04-28 14:27:48
16,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Beer,ChangClassic,Region 2,Trat,T3,ERR,-,4360.0,,2580.0,620.0,2400.0,2021-04-28 14:27:48
17,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,ChiangChun,Region 2,Trat,T3,ERR,-,9.0,,0.0,6.0,15.0,2021-04-28 14:27:48
18,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,NAB,GreenTea,Region 2,Trat,T3,ERR,ERR,-60.0,,0.0,492.0,432.0,2021-04-28 14:27:48
19,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,HongThong,Region 2,Trat,T3,ERR,-,799.0,,0.0,140.0,939.0,2021-04-28 14:27:48
20,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,NAB,JubJai,Region 2,Trat,T2,ERR,ERR,,,,2.0,0.0,2021-04-28 14:27:48
21,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,Meridian,Region 2,Trat,T3,ERR,-,4.0,,0.0,1.0,5.0,2021-04-28 14:27:48
22,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,PhayaSeur,Region 2,Trat,T3,ERR,ERR,-4.0,,0.0,19.0,15.0,2021-04-28 14:27:48
23,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,NAB,Rock Mountain,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
24,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,RuangKhao,Region 2,Trat,T3,ERR,-,982.0,,0.0,148.0,1130.0,2021-04-28 14:27:48
25,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,Sangsom,Region 2,Trat,T3,ERR,ERR,-33.0,,0.0,73.0,40.0,2021-04-28 14:27:48
26,201809,0001010436,บจก.ดีเซฟ ค้าส่ง,Super Sub-agent,Spirits,WhiteTiger,Region 2,Trat,T3,ERR,-,49.0,,0.0,86.0,135.0,2021-04-28 14:27:48
27,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Beer,Archa,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
28,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Spirits,Blend285,Region 2,Trat,T2,ERR,ERR,-4.0,,0.0,54.0,50.0,2021-04-28 14:27:48
29,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Beer,ChangClassic,Region 2,Trat,T3,ERR,-,4430.0,,1820.0,490.0,3100.0,2021-04-28 14:27:48
30,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,NAB,GreenTea,Region 2,Trat,T2,ERR,-,486.0,,0.0,18.0,504.0,2021-04-28 14:27:48
31,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Spirits,HongThong,Region 2,Trat,T2,ERR,-,642.0,,0.0,368.0,1010.0,2021-04-28 14:27:48
32,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,NAB,Rock Mountain,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
33,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Spirits,RuangKhao,Region 2,Trat,T2,ERR,-,315.0,,0.0,685.0,1000.0,2021-04-28 14:27:48
34,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Spirits,Sangsom,Region 2,Trat,T2,ERR,-,9.0,,0.0,61.0,70.0,2021-04-28 14:27:48
35,201809,0001010435,หจก.ศิริโภชย์,Super Sub-agent,Spirits,WhiteTiger,Region 2,Trat,T2,ERR,-,7.0,,0.0,43.0,50.0,2021-04-28 14:27:48
36,201809,0001010434,นายวุฒิพันธ์ ชพานนท์,Super Sub-agent,Beer,ChangClassic,Region 2,Trat,T3,ERR,-,1830.0,,1560.0,1530.0,1800.0,2021-04-28 14:27:48
37,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,Blend285,Region 2,Trat,T3,-,-,38.0,30.0,52.0,59.0,45.0,2021-04-28 14:27:48
38,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,NAB,Chang,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
39,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,ChiangChun,Region 2,Trat,T3,ERR,-,16.0,,14.0,8.0,10.0,2021-04-28 14:27:48
40,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,NAB,GreenTea,Region 2,Trat,T3,-,-,529.0,429.0,418.0,303.0,414.0,2021-04-28 14:27:48
41,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,HongThong,Region 2,Trat,T3,-,-,526.0,179.0,657.0,747.0,616.0,2021-04-28 14:27:48
42,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,NAB,JubJai,Region 2,Trat,T3,ERR,-,183.0,,68.0,29.0,144.0,2021-04-28 14:27:48
43,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,PhayaSeur,Region 2,Trat,T3,ERR,-,25.0,,27.0,22.0,20.0,2021-04-28 14:27:48
44,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,NAB,Rock Mountain,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
45,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,RuangKhao,Region 2,Trat,T3,ERR,-,4234.0,,2112.0,2458.0,4580.0,2021-04-28 14:27:48
46,201809,0001010433,หจก.ตั้งวรกุล 2008,Agent,Spirits,WhiteTiger,Region 2,Trat,T3,ERR,-,144.0,,137.0,103.0,110.0,2021-04-28 14:27:48
47,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Spirits,Blend285,Region 2,Trat,T2,ERR,-,0.0,,0.0,9.0,9.0,2021-04-28 14:27:48
48,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Beer,ChangClassic,Region 2,Trat,T3,ERR,-,3650.0,,3920.0,870.0,600.0,2021-04-28 14:27:48
49,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Spirits,ChiangChun,Region 2,Trat,T2,ERR,ERR,-4.0,,0.0,4.0,0.0,2021-04-28 14:27:48
50,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Spirits,HongThong,Region 2,Trat,T2,ERR,ERR,-36.0,,0.0,280.0,244.0,2021-04-28 14:27:48
51,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,NAB,Rock Mountain,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
52,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Spirits,RuangKhao,Region 2,Trat,T2,ERR,-,234.0,,0.0,706.0,940.0,2021-04-28 14:27:48
53,201809,0001010430,บุญชัยพาณิชย์,Super Sub-agent,Spirits,Sangsom,Region 2,Trat,T2,ERR,-,0.0,,0.0,25.0,25.0,2021-04-28 14:27:48
54,201809,0001010428,บจก.พี แอนด์ พี เกาะช้าง,Super Sub-agent,Beer,ChangClassic,Region 2,Trat,T3,ERR,-,3535.0,,2040.0,455.0,1950.0,2021-04-28 14:27:48
55,201809,0001010428,บจก.พี แอนด์ พี เกาะช้าง,Super Sub-agent,Spirits,HongThong,Region 2,Trat,T3,ERR,-,291.0,,114.0,161.0,338.0,2021-04-28 14:27:48
56,201809,0001010428,บจก.พี แอนด์ พี เกาะช้าง,Super Sub-agent,NAB,Rock Mountain,Region 2,Trat,,ERR,-,-99.0,,,-99.0,-99.0,2021-04-28 14:27:48
57,201809,0001010428,บจก.พี แอนด์ พี เกาะช้าง,Super Sub-agent,Spirits,RuangKhao,Region 2,Trat,T3,ERR,-,1332.0,,507.0,75.0,900.0,2021-04-28 14:27:48
58,201809,0001010428,บจก.พี แอนด์ พี เกาะช้าง,Super Sub-agent,Spirits,Sangsom,Region 2,Trat,T3,ERR,-,82.0,,86.0,174.0,170.0,2021-04-28 14:27:48
59,201809,0001010427,หจก.โตศักดิ์สิทธิ์การค้า,Agent,Spirits,Blend285,Region 2,Sa Kaeo,T3,-,-,71.0,63.0,138.0,107.0,40.0,2021-04-28 14:27:48
60,201809,0001010427,หจก.โตศักดิ์สิทธิ์การค้า,Agent,Beer,ChangClassic,Region 2,Sa Kaeo,T3,ERR,-,2583.375,,4402.0,5250.0,3431.375,2021-04-28 14:27:48
61,201809,0001010427,หจก.โตศักดิ์สิทธิ์การค้า,Agent,Spirits,ChiangChun,Region 2,Sa Kaeo,T3,-,-,155.0,142.0,70.0,35.0,120.0,2021-04-28 14:27:48
